product_title,incoming_product_id,threepk,outgoing_product_id
Steel the Show - 3 Items,1671100497971,t,1671100465203
Steel the Show - 5 Items,1671100497971,f,1671100497971
Chill Mode - 3 Items,1671100301363,t,1671100268595
Chill Mode - 5 Items,1671100301363,f,1671100301363
Flower Bud - 3 Items,1671100366899,t,1671100334131
Flower Bud - 5 Items,1671100366899,f,1671100366899
The Jet Set - 3 Items,1671100563507,t,1671100530739
The Jet Set - 5 Items,1671100563507,f,1671100563507
Morning Mantra - 3 Items,1671100432435,t,1671100399667
Morning Mantra - 5 Items,1671100432435,f,1671100432435