collection_name,collection_id,collection_size_type
Iridescent Dreams - 5 Items,1,sports-bra
Iridescent Dreams - 5 Items,1,leggings
Iridescent Dreams - 5 Items,1,tops
Tilt The Scale - 5 Items,2,sports-bra
Tilt The Scale - 5 Items,2,sports-jacket
Tilt The Scale - 5 Items,2,leggings
Midnight Garden - 5 Items,3,sports-bra
Midnight Garden - 5 Items,3,sports-jacket
Midnight Garden - 5 Items,3,leggings
Punchline - 5 Items,4,tops
Punchline - 5 Items,4,sports-bra
Punchline - 5 Items,4,leggings