product_title,shopify_product_id,prod_type
Berry Crush - 2 Items,4366057209914,2
Berry Crush - 3 Items,4366057406522,3
Berry Crush - 5 Items,4366057963578,5
Blue Skies - 3 Items,4398408073274,3
Bootcamp Beauty - 3 Items,4495533342778,3
Bright Idea - 2 Items,4494808875066,2
Bright Idea - 3 Items,4494809432122,3
Cloud Nine - 5 Items Auto renew,4466296094778,5
Coastal Cool - 2 Items,4465961861178,2
Coastal Cool - 3 Items,4465962647610,3
Coastal Cool - 5 Items,4465964286010,5
Cupids Kiss - 3 Items,4382378229818,3
Ellie Picks - 2 Items,4399742615610,2
Ellie Picks - 3 Items,4399742746682,3
Ellie Picks - 5 Items,4399742910522,5
Fierce & Floral - 3 Items,2227262881850,3
Fresh Tone - 3 Items,4465956257850,3
Hibiscus Love - 2 Items,4494807007290,2
Hibiscus Love - 3 Items,4494807302202,3
Hibiscus Love - 3 Items Auto renew,4494807302202,3
Hillside Hike - 2 Items,4494815723578,2
Hillside Hike - 3 Items,4494816018490,3
Hillside Hike - 5 Items,4494817034298,5
Laguna Getaway - 2 Items,4495551397946,2
Laguna Getaway - 3 Items,4495555231802,3
Laguna Getaway - 5 Items,4495556706362,5
Making Moves - 2 Items,4398463418426,2
Making Moves - 3 Items,4398463516730,3
Making Moves - 5 Items,4398463877178,5
Moonlight Rose - 3 Items,4495537635386,3
Moonlight Rose - 5 Items,4495548743738,5
Off The Grid - 3 Items,4465970839610,3
One More Mile - 2 Items Auto renew,4494832042042,2
One More Mile - 3 Items,4495516991546,3
Ooh La Lavender - 2 Items,4494810513466,2
Ooh La Lavender - 3 Items,4494811070522,3
Ooh La Lavender - 5 Items,4494812184634,5
Peach Sorbet - 3 Items,4494814216250,3
Peach Sorbet - 5 Items,4494815330362,5
Pinky Swear - 3 Items,4429079576634,3
Prism Perfect - 3 Items,2339796320314,3
Renewal - 2 Items,4494771486778,2
Renewal - 3 Items,4494771978298,3
Renewal - 3 Items Auto renew,4494771978298,3
Renewal - 5 Items,4494774370362,5
Serve It Up - 2 Items,4494801666106,2
Serve It Up - 3 Items,4494804746298,3
Spring Blossom - 3 Items,2338694234170,3
Summer Sunset - 2 Items,4489681862714,2
Summer Sunset - 3 Items,4489682452538,3
Summer Sunset - 3 Items Auto renew,4489682452538,3
Summer Sunset - 5 Items,4489685401658,5
Twilight - 2 Items,4494779220026,2
Twilight - 3 Items,4494783381562,3
Twilight - 3 Items Auto renew,4494783381562,3
Twilight - 5 Items,4494784757818,5
Wild Instinct - 2 Items,4494787018810,2
Wild Instinct - 3 Items,4494787805242,3
Wild Instinct - 3 Items Auto renew,4494787805242,3
Wild Instinct - 5 Items,4494788886586,5